catid,cat_name
11035567,Thời Trang Nam
11035639,Thời Trang Nữ
11036030,Điện Thoại & Phụ Kiện
11036194,Mẹ & Bé
11036132,Thiết Bị Điện Tử
11036670,Nhà Cửa & Đời Sống
11035954,Máy Tính & Laptop
11036279,Sắc Đẹp
11036101,Máy Ảnh & Máy Quay Phim
11036345,Sức Khỏe
11035788,Đồng Hồ
11035825,Giày Dép Nữ
11035801,Giày Dép Nam
11035761,Túi Ví Nữ
11036971,Thiết Bị Điện Gia Dụng
11035853,Phụ Kiện & Trang Sức Nữ
11035478,Thể Thao & Du Lịch
11036525,Bách Hóa Online
11036793,Ô Tô & Xe Máy & Xe Đạp
11036863,Nhà Sách Online
11035741,Balo & Túi Ví Nam
11036382,Thời Trang Trẻ Em
11036932,Đồ Chơi
11036624,Giặt Giũ & Chăm Sóc Nhà Cửa
11036478,Chăm Sóc Thú Cưng
11035898,Voucher & Dịch Vụ
11116484,Dụng cụ và thiết bị tiện ích
11035567,Thời Trang Nam
11035639,Thời Trang Nữ
11036030,Điện Thoại & Phụ Kiện
11036194,Mẹ & Bé
11036132,Thiết Bị Điện Tử
11036670,Nhà Cửa & Đời Sống
11035954,Máy Tính & Laptop
11036279,Sắc Đẹp
11036101,Máy Ảnh & Máy Quay Phim
11036345,Sức Khỏe
11035788,Đồng Hồ
11035825,Giày Dép Nữ
11035801,Giày Dép Nam
11035761,Túi Ví Nữ
11036971,Thiết Bị Điện Gia Dụng
11035853,Phụ Kiện & Trang Sức Nữ
11035478,Thể Thao & Du Lịch
11036525,Bách Hóa Online
11036793,Ô Tô & Xe Máy & Xe Đạp
11036863,Nhà Sách Online
11035741,Balo & Túi Ví Nam
11036382,Thời Trang Trẻ Em
11036932,Đồ Chơi
11036624,Giặt Giũ & Chăm Sóc Nhà Cửa
11036478,Chăm Sóc Thú Cưng
11035898,Voucher & Dịch Vụ
11116484,Dụng cụ và thiết bị tiện ích
